site,datetime,stat,bp,co,no,no2,nox,out_rh,out_t,pm25t,sigtheta,sonicwd,sonicws,uvpm
Parkway East,2016-03-21T00:00:00,Avg,728.6,0.4923,11,14.3,25.4,64.6,1.6,6,29.7,319,4.6,881
Parkway East,2016-03-22T00:00:00,Avg,728.1,0.7897,4.7,13.8,18.7,50.3,8.1,15,20.4,194,5.8,1468
Parkway East,2016-03-23T00:00:00,Avg,726.6,0.424,3.2,12.2,15.1,37.6,16,14,27.2,244,6,1253
Parkway East,2016-03-24T00:00:00,Avg,722.8,0.3617,1,8.7,9.8,56.9,16.8,14,21,192,7.3,1216
Parkway East,2016-03-25T00:00:00,Avg,725.8,0.4354,6.7,8,14.9,74.8,7.2,7,30.7,318,5.4,646
Parkway East,2016-03-26T00:00:00,Avg,732.8,0.6026,4.9,10.4,15.4,57.1,7.9,9,44.5,44,2.2,1008
Parkway East,2016-03-27T00:00:00,Avg,728.8,0.271,1.4,6.1,7.6,59,14.4,13,28.3,142,2.8,948
Parkway East,2016-03-28T00:00:00,Avg,724.1,0.3414,4.4,6.2,10.6,76.1,9.6,6,29.1,276,7.7,538
Parkway East,2016-03-29T00:00:00,Avg,732.5,0.5075,8.9,10.4,19.3,53.8,7.1,5,32.5,347,4.7,747
Parkway East,2016-03-30T00:00:00,Avg,730.3,0.3351,1.2,8.5,9.8,43.2,11.1,8,24.3,168,5,724
Parkway East,2016-03-31T00:00:00,Avg,721.2,0.3066,0.3,7.9,8.4,45.8,18.2,11,17.5,200,8.2,926
Parkway East,2016-04-01T00:00:00,Avg,719.6,0.3667,5.4,8.4,13.6,61.2,15.3,5,29.6,270,6.9,651
Parkway East,2016-04-02T00:00:00,Avg,717.9,0.255,2.6,4.6,7.3,62.2,6.8,3,30.6,267,8.5,246
Parkway East,2016-04-03T00:00:00,Avg,725.9,0.2496,2.1,3.8,6,53.4,2.7,4,25.8,273,7.9,251
Parkway East,2016-04-04T00:00:00,Avg,725.4,0.3367,5.6,8.4,14.2,67,6.4,7,31.9,293,6.9,685
Parkway East,2016-04-05T00:00:00,Avg,736.1,0.4217,8.4,10.8,19.3,52.9,0.6,8,41.7,4,3.3,717
Parkway East,2016-04-06T00:00:00,Avg,726.4,0.2525,0.8,8.9,9.8,41.1,8.9,7,20.4,169,6.5,752
Parkway East,2016-04-07T00:00:00,Avg,716.3,0.2697,4,7.2,11,76,7.2,5,27.1,240,7.5,539
Parkway East,2016-04-08T00:00:00,Avg,721.1,0.3381,6.6,8.4,15.2,65.8,3.3,5,30.5,270,6.4,571
Parkway East,2016-04-09T00:00:00,Avg,725.8,0.3551,4.1,5.9,9.8,75.3,-0.3,5,28.6,296,6.8,372
Parkway East,2016-04-10T00:00:00,Avg,732.6,0.2605,1.4,9,10.5,59.6,0.7,8,30.8,154,2.6,676
Parkway East,2016-04-11T00:00:00,Avg,726.3,0.3196,1.8,8.4,10.4,74.4,12.9,10,23.2,222,7,1002
Parkway East,2016-04-12T00:00:00,Avg,732.6,0.4621,11.3,9.8,21.2,57.5,7,5,34.4,346,4.8,970
Parkway East,2016-04-13T00:00:00,Avg,735.8,0.4787,8.5,15.2,23.9,48.4,7.1,6,45.1,62,2.6,891
Parkway East,2016-04-14T00:00:00,Avg,733.7,0.3873,6.4,11.9,18.1,43.7,11.9,8,49.3,90,1.9,1239
Parkway East,2016-04-15T00:00:00,Avg,734.9,0.2797,1.8,7.1,8.9,41.3,14.7,9,51.2,139,1.6,784
Parkway East,2016-04-16T00:00:00,Avg,736.7,0.5695,2.9,12.3,14.9,38.5,16.7,9,41.8,81,2,1147
Parkway East,2016-04-17T00:00:00,Avg,736.7,0.9182,5.8,17.4,23.3,38.6,19.7,17,41.6,20,2.2,2619
Parkway East,2016-04-18T00:00:00,Avg,734.4,0.7124,12.6,23.3,36,34.8,20.2,11,41.3,323,2.6,1946
Parkway East,2016-04-19T00:00:00,Avg,731.6,0.9511,14.3,22.2,36.5,37.2,18.7,15,38.3,4,3.5,2569
Parkway East,2016-04-20T00:00:00,Avg,732.3,0.2631,3.1,6.9,10.1,30.1,16.7,4,52.5,126,2,660
Parkway East,2016-04-21T00:00:00,Avg,727.4,0.3341,2.7,10.4,12.7,46,18.5,15,33.7,143,2.6,1579
Parkway East,2016-04-22T00:00:00,Avg,725.7,0.6767,8.6,16.8,25.5,82.5,16,18,39.3,313,2.6,1985
Parkway East,2016-04-23T00:00:00,Avg,728.4,0.5134,5.2,7.4,12.7,63.4,13.5,8,38.8,354,4.2,751
