datetime,bp,co,no,no2,nox,out_rh,out_t,pm25t,uvpm
2016-03-21T00:00:00,728.6,0.4923,11,14.3,25.4,64.6,1.6,6,881
2017-09-03T00:00:00,728.6,0.4569,2.3,5.7,8.1,77.7,18.2,9,899
2019-02-09T00:00:00,745.3,0.4795,5.6,9,14.6,55.9,-4.9,6,646
2018-09-28T00:00:00,731.1,0.5027,5.6,10.1,15.8,76.7,16.9,7,954
2020-02-17T00:00:00,731.9,0.5344,19.6,14.6,34.2,68.9,3.8,12,1443
2018-04-16T00:00:00,720.5,0.3561,6.7,7.9,14.7,81.8,4.9,3,489
2016-08-01T00:00:00,730.4,0.6074,6.8,12.8,19.7,71.7,25.3,12,1696
2017-08-15T00:00:00,727.4,0.6173,4.2,10.6,14.9,69.4,25,16,1718
2017-02-15T00:00:00,719.8,0.3443,7,9.2,16.3,68.7,1.6,6,729
2020-04-13T00:00:00,714.3,0.2737,1,5,6,84.6,16.5,2,309
2017-06-09T00:00:00,726.6,0.5555,13.5,15.5,29,62.2,19.5,13,2125
2016-09-15T00:00:00,734.2,0.5161,12.5,9.7,22.3,68.9,19.2,5,1034
2017-01-13T00:00:00,742.6,0.5783,11.4,12.4,23.9,67,1.4,7,1047
2019-10-13T00:00:00,728.5,0.595,3.7,10.5,14.3,69.1,10.5,9,1299
2017-11-05T00:00:00,727.9,0.3135,1.4,7.5,8.7,88.5,15.5,10,854
2019-07-02T00:00:00,728.1,0.5043,2.5,11.4,14.1,70,25.6,17,1726
2019-08-19T00:00:00,730,0.5862,6.4,11.1,17.7,67.3,26.2,6,1339
2018-04-29T00:00:00,733,0.414,3.9,5.5,9.4,59.5,5.4,5,339
2017-05-25T00:00:00,717.4,0.3158,3.1,7.3,10.5,85.8,15.7,3,571
2017-02-07T00:00:00,720.4,0.4852,1,11.1,12.2,83.1,12.9,10,1375
2018-09-30T00:00:00,735.1,0.6322,3.8,9.3,13.1,74.8,17.2,12,1429
2020-04-03T00:00:00,727.5,0.3543,4.6,7.9,12.6,43.6,9.8,4,519
2018-02-11T00:00:00,726.1,0.4591,7.9,12.7,20.7,95.2,7.1,9,1090
2016-08-31T00:00:00,728.8,0.6905,6.4,16,22.1,76.1,22,16,3107
2020-04-07T00:00:00,724.3,0.5748,3.7,16.6,20.4,72.8,13.5,14,2150
2016-06-09T00:00:00,728.9,0.78,11.9,15.9,27.9,53.6,17,9,1667
2019-06-29T00:00:00,732,0.719,2,10.1,12.2,75.5,24.7,18,1680
2016-06-24T00:00:00,729.1,0.5623,9.1,11.3,20.4,74.4,24.3,13,1417
2016-08-08T00:00:00,730.4,0.3646,5,8.2,13.3,58.6,24.8,7,925
2017-11-25T00:00:00,723.6,0.5615,4.3,10.7,15.1,51.4,9.9,13,1275
2018-08-01T00:00:00,729.2,0.4348,1.9,8.8,10.9,82.7,22.5,11,1064
2018-12-03T00:00:00,723.6,0.3383,7.7,7.7,15.4,75.9,5.4,3,393
2017-04-02T00:00:00,733.3,0.3373,2.3,8.9,11.4,64.1,8.8,7,624
